PERMNO,start,ending
79915.0,2010-12-20,2019-02-14
80080.0,1994-01-04,2023-12-29
80100.0,2002-06-26,2023-12-29
80183.0,2016-12-02,2023-12-29
80191.0,2016-07-01,2023-12-29
80204.0,2014-07-02,2023-12-29
80266.0,2000-12-12,2011-01-14
80286.0,2014-01-24,2023-12-29
80303.0,2008-07-01,2011-12-16
80320.0,2018-07-02,2023-12-29
80381.0,2007-01-10,2023-12-29
80399.0,2013-05-09,2019-12-20
80406.0,2003-07-17,2011-06-02
80539.0,2018-03-19,2019-10-02
80563.0,2021-03-22,2022-09-16
80599.0,1998-01-12,2008-09-16
80681.0,2014-04-02,2023-12-29
80711.0,2003-03-14,2020-12-18
80913.0,2004-04-02,2010-02-05
81045.0,2015-04-07,2023-12-29
81055.0,1998-07-01,2023-12-29
81061.0,1999-01-13,2023-12-29
81138.0,2002-05-15,2013-06-28
81285.0,2002-05-13,2008-06-05
81481.0,2011-12-19,2023-12-29
81540.0,2001-08-30,2023-12-29
81593.0,1997-07-02,2008-09-29
81655.0,1995-05-30,2023-12-29
81677.0,2019-02-27,2023-12-29
81696.0,2017-03-13,2023-06-16
81736.0,2017-07-26,2023-12-29
81774.0,1995-07-31,2023-12-29
81776.0,2007-05-31,2011-12-16
81857.0,2008-01-29,2016-04-01
82196.0,2009-04-02,2015-03-20
82276.0,2022-11-01,2023-12-29
82298.0,2009-02-26,2016-09-30
82303.0,2017-06-19,2023-12-29
82307.0,2008-07-31,2023-12-29
82515.0,2020-10-07,2023-12-29
82581.0,2015-03-18,2023-12-29
82598.0,1999-06-25,2023-12-29
82618.0,2006-04-20,2016-05-12
82642.0,2006-01-05,2023-12-29
82643.0,1999-08-13,2012-09-28
82651.0,2002-01-02,2023-12-29
82686.0,1999-12-01,2022-09-30
82775.0,1995-12-20,2023-12-29
83111.0,2012-05-25,2021-07-20
83143.0,2009-01-06,2023-12-29
83421.0,2006-04-03,2013-05-23
83435.0,1999-12-08,2017-06-16
83443.0,2010-02-16,2023-12-29
83596.0,1998-08-11,2008-08-26
83597.0,2021-12-20,2023-12-29
83621.0,2017-06-19,2023-12-29
83699.0,2007-10-29,2012-12-21
83862.0,2004-04-01,2020-10-06
83906.0,2008-11-19,2018-11-30
83976.0,2007-03-29,2013-12-20
84020.0,1996-11-01,2010-02-26
84032.0,2005-03-14,2021-09-17
84129.0,2001-06-25,2023-12-29
84176.0,2005-12-20,2008-06-30
84262.0,2022-12-22,2023-12-29
84342.0,2001-06-04,2011-12-16
84373.0,2002-12-12,2023-12-29
84381.0,1996-12-09,2023-12-29
84519.0,2001-08-30,2009-12-18
84761.0,2018-03-19,2023-12-29
84767.0,2017-03-20,2023-12-29
84769.0,2008-09-30,2023-12-29
84788.0,2005-11-21,2023-12-29
85032.0,2000-07-06,2011-03-31
85035.0,2015-06-12,2023-12-29
85058.0,2006-04-03,2023-12-29
85072.0,2007-02-02,2023-12-29
85257.0,2013-09-23,2023-12-29
85265.0,2015-03-23,2021-03-19
85269.0,2004-04-29,2023-12-29
85271.0,2007-07-09,2009-03-03
85348.0,1997-10-07,2023-12-29
85459.0,2007-03-02,2023-12-29
85592.0,2011-06-03,2023-12-29
85593.0,2014-07-01,2019-12-20
85621.0,2016-09-06,2023-12-29
85631.0,1989-12-21,2023-12-29
85663.0,2014-09-22,2023-12-29
85675.0,2016-12-02,2018-10-10
85753.0,2006-02-01,2023-12-29
85792.0,2009-07-01,2023-12-29
85913.0,1998-05-21,2023-12-29
85914.0,1999-06-30,2023-12-29
85926.0,1998-04-01,2023-12-15
85963.0,2000-07-03,2016-01-29
